depth,xPixel,yPixel,R,leftLine,theta
1570.0,62,2216.5,7.4,2,5.0
1572.5,30,2239.5,7.4,0,1.619047619047619
1574.5,84,2261.5,7.4,3,7.333333333333333
1578.0,202,2299.5,7.4,10,21.6
1579.0,184,2311.5,7.4,9,19.25
1580.0,164,2320.5,7.4,8,16.75
1582.0,54,2339.5,7.4,2,4.2
1583.5,82,2359.5,7.4,3,7.111111111111111
1585.5,128,2378.5,7.4,6,12.352941176470589
1587.5,116,2399.5,7.4,5,10.941176470588236
1589.5,76,2418.5,7.4,3,6.444444444444445
1591.5,74,2439.5,7.4,3,6.222222222222222
1593.0,88,2459.5,7.4,3,7.777777777777778
1595.0,78,2479.5,7.4,3,6.666666666666667
1597.0,50,2499.5,7.4,1,3.7777777777777777
1599.5,64,2523.5,7.4,2,5.2
1601.0,76,2540.5,7.4,3,6.444444444444445
1602.5,120,2559.5,7.4,5,11.411764705882353
1605.0,164,2581.5,7.4,8,16.75
1606.5,254,2601.5,7.4,14,28.857142857142858
1612.5,66,2663.5,7.4,2,5.4
1615.5,56,2695.5,7.4,2,4.4
1618.5,288,2728.5,7.4,16,33.857142857142854
1620.5,120,2749.5,7.4,5,11.411764705882353
1622.5,272,2767.5,7.4,15,31.53846153846154
1624.5,206,2787.5,7.4,11,22.142857142857142
1626.0,228,2805.5,7.4,12,25.2
1628.0,264,2827.5,7.4,15,30.307692307692307
1630.0,110,2846.5,7.4,5,10.235294117647058
1632.0,120,2869.5,7.4,5,11.411764705882353
1633.5,258,2886.5,7.4,14,29.428571428571427
1636.0,80,2908.5,7.4,3,6.888888888888889
1637.5,46,2926.5,7.4,1,3.333333333333333
1639.5,48,2949.5,6.2,1,3.5555555555555554
1641.5,70,2970.5,7.4,2,5.8
1644.0,154,2992.5,6.0,7,15.5
1645.5,66,3008.5,7.4,2,5.4
1647.0,58,3027.5,7.4,2,4.6
1649.0,244,3046.5,7.4,13,27.428571428571427
1651.0,266,3068.5,7.4,15,30.615384615384617
1653.0,88,3089.5,7.4,3,7.777777777777778
1655.0,88,3109.5,7.4,3,7.777777777777778
1656.0,442,3119.5,6.0,29,59.63636363636363
1656.5,114,3127.5,6.0,5,10.705882352941176
1658.5,448,3148.5,7.4,30,60.2962962962963
1659.0,66,3150.5,7.4,2,5.4
1659.5,10,3156.5,5.9,0,-0.2857142857142857
1661.5,42,3179.5,7.4,1,2.888888888888889
1663.5,68,3198.5,7.4,2,5.6
1664.0,8,3206.5,5.9,0,-0.47619047619047616
1665.0,50,3218.5,6.0,1,3.7777777777777777
1666.0,114,3226.5,6.2,5,10.705882352941176
1668.0,92,3247.5,7.4,4,8.222222222222221
1670.0,64,3266.5,7.4,2,5.2
1672.0,68,3288.5,7.4,2,5.6
1674.0,68,3310.5,7.4,2,5.6
1675.5,54,3327.5,7.4,2,4.2
1677.5,44,3346.5,7.4,1,3.111111111111111
1680.0,46,3373.5,7.4,1,3.333333333333333
1682.5,62,3400.5,5.3,2,5.0
1683.0,30,3407.5,7.4,0,1.619047619047619
1685.0,28,3429.5,7.4,0,1.4285714285714286
1687.5,62,3451.5,7.4,2,5.0
1689.5,60,3473.5,7.4,2,4.8
1691.5,54,3495.5,7.4,2,4.2
1695.0,66,3532.5,7.4,2,5.4
1697.0,88,3553.5,7.4,3,7.777777777777778
1699.0,40,3573.5,7.4,1,2.6666666666666665
1700.5,92,3592.5,7.4,4,8.222222222222221
1702.5,94,3612.5,7.4,4,8.444444444444445
1704.5,70,3632.5,6.2,2,5.8
1706.5,58,3655.5,7.4,2,4.6
1708.5,24,3674.5,7.4,0,1.0476190476190477
1710.5,22,3695.5,7.4,0,0.8571428571428571
1712.0,104,3712.5,6.0,4,9.555555555555555
1714.0,54,3732.5,7.4,2,4.2
1716.0,64,3754.5,7.4,2,5.2
1718.0,58,3776.5,7.4,2,4.6
1720.0,70,3795.5,7.4,2,5.8
1721.5,88,3813.5,7.4,3,7.777777777777778
1723.5,80,3833.5,6.2,3,6.888888888888889
1725.5,78,3855.5,7.4,3,6.666666666666667
1727.5,208,3875.5,7.4,11,22.428571428571427
1729.5,158,3894.5,7.4,7,16.0
1731.5,146,3918.5,7.4,7,14.5
1731.5,94,3916.5,7.4,4,8.444444444444445
1733.5,28,3936.5,7.4,0,1.4285714285714286
1735.0,42,3954.5,7.4,1,2.888888888888889
1737.0,122,3977.5,7.4,5,11.647058823529411
1739.0,38,3995.5,7.4,1,2.4444444444444446
1741.0,76,4015.5,7.4,3,6.444444444444445
1742.5,78,4035.5,7.4,3,6.666666666666667
1744.5,70,4056.5,7.4,2,5.8
1746.5,82,4076.5,7.4,3,7.111111111111111
1748.5,368,4095.5,7.4,23,46.54545454545455
1750.0,88,4114.5,7.4,3,7.777777777777778
1750.5,8,4119.5,5.9,0,-0.47619047619047616
1752.0,148,4135.5,7.4,7,14.75
1753.5,170,4147.5,5.9,8,17.5
1753.5,446,4150.5,7.4,30,60.148148148148145
1754.0,142,4156.5,7.4,7,14.0
1755.5,298,4172.5,7.4,17,35.38461538461539
1758.0,258,4196.5,7.4,14,29.428571428571427
1760.0,138,4218.5,7.4,6,13.529411764705882
1761.5,124,4235.5,7.4,5,11.882352941176471
1762.0,8,4241.5,5.9,0,-0.47619047619047616
1763.5,30,4256.5,7.4,0,1.619047619047619
1765.5,32,4277.5,7.4,0,1.8095238095238095
1766.0,8,4283.5,5.3,0,-0.47619047619047616
1767.5,38,4299.5,7.4,1,2.4444444444444446
1769.5,24,4319.5,7.4,0,1.0476190476190477
1772.0,26,4342.5,6.2,0,1.2380952380952381
1773.0,68,4357.5,6.2,2,5.6
1775.5,32,4379.5,7.4,0,1.8095238095238095
1777.5,54,4401.5,7.4,2,4.2
1779.0,24,4418.5,7.4,0,1.0476190476190477
1781.0,24,4440.5,7.4,0,1.0476190476190477
1785.0,20,4480.5,7.4,0,0.6666666666666666
1788.5,24,4519.5,7.4,0,1.0476190476190477
1791.0,32,4542.5,7.4,0,1.8095238095238095
1792.5,44,4560.5,7.4,1,3.111111111111111
1794.5,28,4583.5,7.4,0,1.4285714285714286
1796.0,44,4599.5,7.4,1,3.111111111111111
1798.0,36,4620.5,7.4,1,2.2222222222222223
1800.0,44,4640.5,7.4,1,3.111111111111111
1802.0,54,4663.5,7.4,2,4.2
1804.0,30,4681.5,7.4,0,1.619047619047619
1806.0,24,4702.5,7.4,0,1.0476190476190477
1808.0,32,4724.5,7.4,0,1.8095238095238095
1809.5,44,4741.5,5.3,1,3.111111111111111
1811.5,14,4762.5,6.0,0,0.09523809523809523
1813.5,34,4781.5,7.4,0,2.0
1815.5,32,4801.5,7.4,0,1.8095238095238095
1817.5,32,4824.5,7.4,0,1.8095238095238095
