,xPixel,yPixel,R,upLine,leftLine,depth,dip_x,dip_azimuth_x,ang_nxt,ang_prev,dist_nxt,dist_prev,cosHit_nxt,cosHit_prev,an_diff,ap_diff,hitNext,hitPrev,dip_y,dip_azimuth_y,err
13,30.5,499.5,7.4,4,0,1389.5,1.6818181818181819,246.31830335106702,148.24052,341.56506,24.698177,22.135944,0.9533173,0.9647395,98.07777905907483,95.24676012549548,False,False,1.8,249.0,0.014898314716294356
14,43.5,520.5,7.4,5,1,1391.5,3.0555555555555554,8.032118587534788,176.98721,328.24054,19.026299,24.698177,0.9996508,0.9533173,168.95509454723083,39.79157903675355,False,False,3.0,13.0,0.027599341180362242
15,44.5,539.5,8.4,5,1,1393.5,3.166666666666667,40.92555749201691,199.29005,356.9872,21.189621,19.026299,0.9846345,0.9996508,158.36449682927218,43.93834435725125,False,False,3.1,15.0,0.14403087495564948
16,37.5,559.5,7.4,5,1,1395.5,2.388888888888889,206.15771041339303,125.1342,19.29004,33.01515,21.189621,0.9784698,0.9846345,81.02350936358835,173.13232864910697,False,False,2.4,204.0,0.011987280074405741
17,64.5,578.5,7.4,5,2,1397.5,5.25,152.61025316316108,139.18492,305.13422,29.068884,33.01515,0.95750225,0.9784698,13.425331898512638,152.52396314543267,True,False,5.3,155.0,0.0132763713157718
18,83.5,600.5,7.4,5,3,1399.5,7.277777777777778,182.06135465078864,96.446754,319.18494,178.12636,29.068884,3.3201723,0.95750225,85.61460019522224,137.12358187264886,False,False,6.9,165.0,0.09478530361549246
19,260.5,620.5,7.3,6,14,1401.5,29.785714285714285,320.1031784507971,261.076,276.44675,122.48265,178.12636,2.344177,3.3201723,59.02718968126584,43.65643162462521,False,False,30.1,316.0,0.022795435837761602
20,139.5,639.5,8.4,6,6,1403.5,13.705882352941176,40.92555749201691,258.4654,81.07599,100.02,122.48265,1.8904805,2.344177,142.46016442561063,40.15043127751434,False,False,13.9,169.0,0.711524680599906
21,41.5,659.5,8.4,6,1,1405.5,2.8333333333333335,66.50403092452746,146.30992,78.46539,25.23886,100.02,0.9578045,1.8904805,79.80589034012098,11.961362141878794,False,False,2.9,65.0,0.008355727358485865
22,55.5,680.5,7.4,6,2,1407.5,4.35,182.06135465078864,141.34018,326.30994,25.612497,25.23886,0.9520593,0.9578045,40.72117520742927,144.24858187264886,False,False,4.4,190.0,0.044103585273396424
23,71.5,700.5,7.4,6,2,1409.5,5.95,40.16059293767395,238.7816,321.34018,38.587563,25.612497,1.0258576,0.9520593,161.37899198552554,78.82041349431455,False,False,6.0,42.0,0.01021892812403359
24,38.5,720.5,8.2,7,1,1411.5,2.5,95.49296667558036,93.62773,58.781616,347.69672,38.587563,6.2017937,1.0258576,1.8652353523381748,36.71135046464286,False,False,2.6,89.0,0.03607203708655757
25,385.5,742.5,8.4,7,24,1413.5,49.583333333333336,40.92555749201691,263.6937,273.62775,373.25864,347.69672,6.6061745,6.2017937,137.2318624236575,127.29781090998563,False,False,49.6,15.0,0.14403087495564948
26,14.5,783.5,7.4,7,0,1417.5,0.22727272727272727,254.3504219386018,103.15755,83.693695,79.07591,373.25864,1.5999771,6.6061745,151.1928749415315,170.65672687024244,False,False,0.2,354.0,0.5536087670077677
27,91.5,801.5,7.4,7,4,1419.5,8.166666666666666,318.6073706388802,242.90443,283.15753,48.30114,79.07591,1.1384163,1.5999771,75.70293643477862,35.449838900598934,False,False,8.3,320.0,0.007736829783998978
28,48.5,823.5,7.4,8,1,1421.5,3.611111111111111,251.67304907609022,211.75948,62.90442,24.698177,48.30114,0.9533173,1.1384163,39.91357336808241,171.23136986922225,False,False,3.6,251.0,0.003739161533834571
29,35.5,844.5,7.4,8,1,1423.5,2.1666666666666665,267.7372862511598,106.782646,31.75946,65.802734,24.698177,1.3894318,0.9533173,160.95464007196057,124.02217419805896,False,False,2.2,271.0,0.018126187493556736
30,98.5,863.5,6.6,8,4,1425.5,8.944444444444445,27.813485329287566,135.0,286.78265,28.284271,65.802734,0.9550441,1.3894318,107.18651467071243,101.03083152069382,False,False,8.9,36.0,0.04548063705951348
31,118.5,883.5,7.4,8,5,1427.5,11.235294117647058,64.25694870027833,257.34744,315.0,100.43903,28.284271,1.9564244,0.9550441,166.9095060733252,109.25694870027831,False,False,11.2,64.0,0.0014274927793239713
32,20.5,905.5,7.4,8,0,1429.5,0.7727272727272727,251.67304907609022,144.16234,77.34744,22.203604,100.43903,0.9642653,1.9564244,107.51071081925429,174.3256064491371,False,False,0.8,250.0,0.009294717089390126
33,33.5,923.5,7.4,9,0,1431.5,1.9545454545454546,251.67304907609022,190.30484,324.16235,22.36068,22.203604,0.9632042,0.9642653,61.3682089881996,72.48930443953478,False,False,2.0,256.0,0.024038616243943208
34,29.5,945.5,7.4,9,0,1433.5,1.5909090909090908,262.3825405261366,211.42957,10.30484,21.095022,22.36068,0.9734168,0.9632042,50.95297509644911,107.92229956175402,False,False,1.5,261.0,0.007680780700758937
35,18.5,963.5,7.4,9,0,1435.5,0.5909090909090909,262.3825405261366,185.19443,31.429565,22.090721,21.095022,0.9650622,0.9734168,77.18811303590223,129.0470249035509,False,False,0.6,268.0,0.03120810818812995
36,16.5,985.5,7.4,9,0,1437.5,0.4090909090909091,265.05991338864817,146.30992,5.1944275,21.633308,22.090721,0.9685971,0.9650622,118.74999212399973,100.1345141015862,False,False,0.5,263.0,0.011443963270267608
37,28.5,1003.5,6.2,9,0,1439.5,1.5,283.64247551528416,177.13759,326.30994,20.024984,21.633308,0.9691681,0.9685971,106.5048870143076,42.66746100815334,False,False,1.4,295.0,0.06309735824842133
38,29.5,1023.5,7.4,10,0,1441.0,1.5909090909090908,326.639489226415,124.50853,357.13757,38.832977,20.024984,1.0283028,0.9691681,157.86904043667096,30.49808401577252,False,False,1.4,295.0,0.17577494014674988
39,61.5,1045.5,7.4,10,2,1443.5,4.95,40.16059293767395,164.05461,304.50854,21.84033,38.832977,0.96693563,1.0283028,123.8940182683807,95.65204801579893,False,False,5.0,40.0,0.0008921829870775215
40,67.5,1066.5,7.4,10,2,1445.5,5.55,34.80584721265075,236.30992,344.05463,36.05551,21.84033,1.0022445,0.96693563,158.4959259480023,50.751220747807,False,False,5.6,38.0,0.017745293263051406
41,37.5,1086.5,7.4,10,1,1447.5,2.388888888888889,16.064237175069575,201.37064,56.309937,24.698177,36.05551,0.9533173,1.0022445,174.69360118874147,40.24569934836791,False,False,2.4,21.0,0.027420904582946864
42,28.5,1109.5,7.4,10,0,1449.5,1.5,353.41321785153093,136.63658,21.370636,24.758837,24.698177,0.95319283,0.9533173,143.2233635693675,27.957418134797194,False,True,1.5,353.0,0.002295654730727392
43,45.5,1127.5,7.4,11,1,1451.5,3.2777777777777777,32.12847435013915,100.43748,316.6366,115.918076,24.758837,2.2223845,0.95319283,68.30900276167725,75.49187767045163,False,False,3.3,22.0,0.056269301945217544
44,159.5,1148.5,8.4,11,8,1453.5,16.1875,166.26007731131867,245.13629,280.43747,45.188496,115.918076,1.0823509,2.2223845,78.87621419258755,114.17739217110318,False,False,16.3,167.0,0.0041106816037851795
45,118.5,1167.5,7.4,11,5,1455.5,11.235294117647058,246.31830335106702,249.32556,65.13629,56.648037,45.188496,1.2528626,1.0823509,3.0072581723704843,178.81798815283923,False,False,11.2,249.0,0.014898314716294356
46,65.5,1187.5,7.4,11,2,1457.5,5.35,232.93143903850904,233.47116,69.32556,33.600594,56.648037,0.98260164,1.2528626,0.5397218501628345,163.60587751507154,True,False,5.3,232.0,0.005174661325050225
47,38.5,1207.5,7.4,11,1,1459.5,2.5,254.3504219386018,129.80557,53.47116,31.241,33.600594,0.9674477,0.98260164,124.54484942883619,159.12073895007006,False,False,2.4,266.0,0.06471987811887882
48,62.5,1227.5,7.4,12,2,1461.5,5.05,80.32118587534792,228.01279,309.80557,26.907248,31.241,0.95236397,0.9674477,147.69160098988647,130.51561336558228,False,False,5.1,79.0,0.007339921529710598
49,42.5,1245.5,6.0,12,1,1463.5,2.9444444444444446,45.83662361046587,169.2157,48.012787,21.377558,26.907248,0.95581627,0.95236397,123.37907463172166,2.176163254768511,False,True,2.7,46.0,0.0009076466085229779
50,46.5,1266.5,7.4,12,1,1465.5,3.388888888888889,211.51245613841624,182.7263,349.2157,21.023796,21.377558,0.97411084,0.95581627,28.786153037830303,137.70324210377123,False,False,3.3,177.0,0.19173586743564577
51,45.5,1287.5,7.4,12,1,1467.5,3.2777777777777777,283.8015234262294,98.99715,2.7263184,121.49486,21.023796,2.319235,0.97411084,175.19562318021593,78.92479493314562,False,False,3.0,285.0,0.006658203187614555
52,165.5,1306.5,8.4,12,8,1469.5,16.9375,291.5945971306208,236.74564,278.99713,72.94518,121.49486,1.4619017,2.319235,54.84896114429267,12.597465782964548,False,False,17.0,291.0,0.0033033173923377665
53,104.5,1346.5,8.4,13,4,1473.5,9.61111111111111,306.94168119012716,98.187805,56.745636,140.43147,72.94518,2.5646658,1.4619017,151.2461239856541,109.80395479620097,False,False,9.7,308.0,0.0058795489437380236
54,243.5,1366.5,8.4,13,13,1475.5,27.357142857142858,266.0161236981101,251.87814,278.1878,57.870544,140.43147,1.2427803,2.5646658,14.137980387563232,12.171681477671143,False,False,27.5,263.0,0.01675624276727837
